01_prenom;02_genre;03_langage;04_fr�quence
aaron;m;english, biblical;1.37
abel;m;english, french, spanish, biblical;5.38
abraham;m;english, jewish, biblical;3.15
achille;m;french, italian;8.63
adam;m;english, french, german, polish, russian, romanian, biblical;25.45
ad�la�de;f;french;15.48
ad�le;f;french;25.33
adeline;f;french, english;1.27
adolf;m;german;2.42
adolphe;m;french;1.72
adrien;m;french;6.31
adrienne;f;french;2.01
agathe;f;french, german, greek, ancient greek;20.01
agn�s;f;french;3.95
agrippa;m;ancient roman, biblical;1.85
aim�;m;french;50.02
aim�e;f;french;14.85
alain;m;french;20.36
albert;m;english, french;27.88
albertine;f;french;4.08
alberto;m;italian, spanish, portuguese;1.34
alby;m;irish;14.97
aldo;m;italian;4.59
alea;f;english (modern);1.31
alessandro;m;italian;1.21
alexander;m;english, german, dutch;2.10
alexandra;f;german, scandinavian, dutch, english, greek, portuguese, romanian, czech, hungarian, ancient greek;2.26
alexandre;m;french, portuguese, hungarian;18.00
alexandrie;f;french;5.54
alfred;m;english, french;5.48
alice;f;english, french;10.07
alonso;m;spanish;6.08
aloysius;m;english, german, dutch;2.17
alphonse;m;french;8.16
amaury;m;french;6.75
ambre;f;french;3.76
ambroise;m;french;1.59
am�d�e;m;french;1.72
am�lie;f;french;1.59
ami;f;english (modern);93.44
ana;f;spanish, portuguese, slovene, bulgarian, romanian, croatian, serbian;4.62
anatole;m;french;5.22
andr�;m;french, portuguese;31.54
angelo;m;italian;3.57
anita;f;spanish;8.35
anna;f;english, italian, german, dutch, scandinavian, greek, hungarian, polish, russian, czech, bulgarian, icelandic;14.94
anne;f;french, english, german, scandinavian;45.59
annette;f;french;1.37
anselme;m;french;1.08
antoine;m;french;46.70
antoinette;f;french;9.37
anton;m;german, russian, scandinavian, bulgarian, slovene, romanian;5.16
antonio;m;spanish, italian, portuguese;1.69
apollinaire;m;french;4.14
ariane;f;english, french;2.45
armand;m;french;30.71
arnaud;m;french;9.24
arnold;m;english, german;1.24
arthur;m;english, welsh mythology;17.78
attila;m;history, hungarian;1.40
aude;f;french;6.31
auguste;m;french;20.36
augustin;m;french;5.86
augusto;m;spanish, italian, portuguese;2.55
augustus;m;ancient roman;5.99
aureliano;m;spanish;3.35
aur�lie;f;french;4.91
aurore;f;french;11.02
avril;f;french, english;28.83
baptiste;m;french;4.81
barbara;f;english, italian, french, german, polish, hungarian;3.41
bart;m;english, dutch;5.89
bas;m;dutch;257.73
basile;m;french;1.02
bastien;m;french;2.29
b�atrice;f;french;7.90
bella;f;italian;1.31
b�n�dicte;f;french;1.53
benjamin;m;english, french, german, hungarian, biblical;8.54
benvenuto;m;italian;1.21
bernadette;f;french;1.15
bernard;m;english, french;19.62
bert;m;english, dutch;1.27
berthe;f;french;6.69
berthold;m;german;3.54
bertrand;m;french, english;16.15
bianca;f;italian;1.91
blaise;m;french;2.17
blanche;f;french, english;103.25
boris;m;russian;3.09
bras;m;portuguese;286.37
brian;m;irish, english;9.40
bride;f;irish;6.12
brigitte;f;german, french;5.38
brogan;m,f;irish;1.72
bruno;m;german, italian, spanish, portuguese, french;4.05
camille;f,m;french;4.87
caprice;f;italian;6.94
carl;m;german, english;3.38
carla;f;italian, portuguese, english, german;1.08
carlo;m;italian;5.19
carlos;m;spanish, portuguese;15.26
carmen;f;spanish, english;11.85
carole;f;french;5.93
caroline;f;french, english;4.36
castor;m;greek mythology (latinized);1.18
catherine;f;english, french;24.66
cayley;f;english (modern);1.47
c�cile;f;french;5.51
cecilia;f;english, italian, spanish, scandinavian;2.90
c�leste;f;french;12.49
c�lia;f;portuguese;3.85
c�line;f;french;3.03
cerise;f;french;2.45
c�sar;m;french, spanish, portuguese;23.54
chantal;f;french, english;4.71
chant�;f;french;4.68
charles;m;english, french;80.57
charlot;m;french;2.96
charlotte;f;french, english;16.22
che;m;spanish;2.26
christian;m;english, french, german;4.81
christine;f;french, english;6.75
christophe;m;french;13.86
claire;f;french;49.67
clara;f;english, italian, german, spanish, portuguese, romanian;18.67
clarisse;f;french;7.93
claude;m,f;french, english;38.71
claudine;f;french;4.17
cl�mence;f;french;2.68
cl�ment;m;french;6.69
colette;f;french;3.79
colombe;m,f;french;3.89
conchita;f;spanish;3.12
constance;f;english, french;6.85
constant;m;english, french;17.97
constantin;m;french, romanian;1.94
cornelia;f;english, italian, german, dutch, romanian, ancient roman;1.43
cristal;f;english (modern);17.52
cristina;f;italian, spanish, portuguese, romanian;1.47
cyrano;m;literature;1.12
cyrille;m,f;french;1.15
dada;f;african;2.71
damien;m;french;4.01
daniel;m;english, jewish, french, german, scandinavian, polish, czech, spanish, portuguese, romanian, biblical;10.99
dani�le;f;french;1.62
dante;m;italian;5.13
david;m;english, jewish, french, russian, czech, biblical;48.01
deborah;f;english, jewish, biblical;2.39
delphine;f;french;2.84
demi;f;greek;151.45
denis;m;french, russian, english;8.54
denise;f;french, english;2.36
d�sir�;m;french;8.16
d�sir�e;f;french;2.77
devin;m;english, irish;1.62
diana;f;english, spanish, italian, portuguese, romanian, russian, roman mythology;1.34
diane;f;french, english;8.82
didi;m;german;1.21
didier;m;french;1.66
diego;m;spanish;1.88
dimitri;m;russian, french;1.15
dion;m;french, english;1.15
domenica;f;italian;2.58
dominique;f,m;french;7.30
eden;f;biblical, english;6.18
edgar;m;english, french;3.60
�dith;f;french;1.59
edmond;m;french;3.47
�douard;m;french;13.89
edward;m;english, polish;3.15
�lise;f;french;2.36
�lodie;f;french;4.84
elsa;f;english, german, swedish;5.51
�mile;m;french;12.14
emma;f;english, french, italian;1.21
emmanuel;m;biblical, french, english;2.61
enrico;m;italian;1.02
ernst;m;german, dutch;2.13
esther;f;english, jewish, french, biblical;3.73
�tienne;m;french;10.58
eug�ne;m;french;7.20
eug�nie;f;french;4.11
eugenio;m;italian, spanish;6.21
eurydice;f;greek mythology (latinized);1.05
eustache;m;french;2.01
fabia;f;ancient roman, italian;5.03
fabiano;m;italian;3.66
fabienne;f;french;2.07
fabius;m;ancient roman;1.08
fabrizio;m;italian;4.49
felipe;m;spanish, portuguese;2.45
f�lix;m;french;6.98
ferdinand;m;english, german, french, czech;5.13
fernand;m;french;7.58
fernande;f;french;1.31
fernando;m;spanish, portuguese;3.03
fiacre;m;french;2.23
fifi;f;french;3.66
fion;m;irish;1.24
flavie;f;french;2.45
florence;f,m;english, french;9.68
florian;m;german, polish, french;1.31
foka;m;russian;1.02
francesca;f;italian;1.08
francine;f;french, english;5.42
francisco;m;spanish, portuguese;3.73
franck;m;french;11.82
franco;m;italian;10.90
fran�ois;m;french;30.46
fran�oise;f;french;20.13
franz;m;german;3.22
fr�d�ric;m;french;7.65
fr�d�rique;f;french;5.80
fredo;m;italian;1.88
friedrich;m;german;1.37
fritz;m;german;3.12
gabriel;m;english, french, german, spanish, portuguese, romanian, biblical;25.20
gabriella;f;italian, hungarian;1.24
gabrielle;f;french, english;17.87
gala;f;russian;2.39
gaspard;m;french;2.23
gaston;m;french;9.37
gautier;m;french;2.71
gavin;m;english, scottish, welsh;1.12
genevi�ve;f;french;15.23
georges;m;french;35.90
georgette;f;french;1.75
g�rard;m;french;7.74
germain;m;french;16.31
germaine;f;french;5.32
germano;m;italian;1.43
gertrude;f;english, german, dutch;1.12
gervais;m;french;1.98
gilbert;m;english, french, dutch;24.28
gilberte;f;french;5.48
gilles;m;french;8.76
giorgio;m;italian;1.18
giovanni;m;italian;3.25
gis�le;f;french;3.09
giselle;f;french, english;4.43
giulio;m;italian;1.47
giuseppe;m;italian;1.31
gladys;f;welsh, english;3.63
gloria;f;english, italian, spanish, portuguese;5.07
gr�goire;m;french;3.89
guido;m;italian;1.82
guillaume;m;french;15.32
gustave;m;french;6.31
guy;m;english, french;5.61
hamlet;m;literature;1.34
hans;m;german, dutch, scandinavian;3.85
harmonie;f;english (modern);18.67
hector;m;english, french, spanish;5.89
heinrich;m;german;3.50
h�l�ne;f;french;20.13
h�lo�se;f;french;2.01
henri;m;french;119.43
henriette;f;french;1.50
herbert;m;english, german, french;2.90
hercule;m;french;2.61
hermann;m;german;5.10
hermine;f;german, french;2.23
herv�;m;french;10.19
hilaire;m;french;5.13
hilda;f;english, german, dutch, scandinavian;1.18
hippolyte;f,m;greek mythology, french;1.82
honor�;m;french;5.45
horace;m;english, french;1.88
hortense;f;french;2.39
hortensia;f;ancient roman, english, spanish;3.92
hubert;m;english, german, dutch, french;6.47
hugo;m;spanish, portuguese, english, dutch, german;12.65
ida;f;english, scandinavian, hungarian;4.33
ignace;m;french;1.37
